Title,Description,Time,Vader_Sentiment,TextBlob_Sentiment,FinBERT_Sentiment
"Australia’s limited work, rising prices hit international students","Ha An has been surprised to find herself struggling to make ends meet while studying abroad in Sydney.
",2024-03-04,0.128,0.1,positive
International students spend over $40B in US,"International students spent over $40.1 billion in the U.S. for the 2022-2023 academic year, up 19% from the previous year, according to NAFSA: Association for International Educators.
",2024-03-04,0.0,-0.05333333333333333,neutral
"Rice prices down 12% amid bountiful harvest, plunging global demand","The prices of paddy and rice bought for exports have plunged by 10-12% in Vietnam since the last harvest amid a surge in supply and cooling global demand.
",2024-03-04,-0.128,0.0,positive
Singapore dispels rumors on Taylor Swift gig grant's size,"Singapore said Monday its grant to Taylor Swift for her concerts in the city was nowhere near as high as speculated, following media reports that the superstar was offered millions of dollars per gig.
",2024-03-04,0.5106,0.08666666666666667,negative
TikToking increasingly a full-time job for young people,"Tran Manh Duc, 30, decided to quit his office job to pursue a career as a TikToker four years ago despite opposition and skepticism among family and friends.
",2024-03-04,0.5913,0.0,positive
Hai Phong hikes Cat Ba tourism project price to $124M despite earlier failed auction,"The Cat Ba Island tourism project will be auctioned with a reserve price of VND3.06 trillion (US$124.2 million), VND900 billion higher than at the first one in November 2022.
",2024-03-02,0.0,0.25,neutral
"Vietnam sees over 22,000 new firms in first two months","Vietnam saw more than 22,000 newly-established firms in the first two months of this year with total registered capital amounting to VND218.71 trillion (over $8.87 billion), according to the General Statistics Office (GSO).
",2024-03-02,0.0,0.2,negative
TikTok becomes most popular online shopping platform of Thai youth,"TikTok, an online video-sharing platform, has become the most popular online shopping platform among Thais aged up to 29, according to a survey conducted by the Trade Policy and Strategy Office (TPSO).
",2024-03-02,0.4754,0.3333333333333333,negative
"Fruit, vegetable exports rise 38%","Vietnam’s fruit and vegetable exports surged 38% to about $749.7 million in the first two months and is expected to peak at nearly US$7 billion this year.
",2024-03-02,0.0,0.08333333333333333,neutral
Thailand aims for top 10 global aviation hub status,"Thailand plans to develop into a regional aviation hub by 2030, which can handle more than 150 million international passengers each year.
",2024-03-02,0.0,0.25,negative
South Korean firms report VAT refund delays in Vietnam,"South Korean firms in Vietnam are experiencing delays in VAT refunds and other tax-related challenges, reports South Korean Ambassador to Vietnam, Choi Youngsam.
",2024-03-01,0.0772,-0.125,positive
Opportunity for Vietnam as Indonesia to import 1.6M tons more rice,"Indonesia plans to increase rice imports by 1.6 million tons this year, giving Vietnamese exporters a big opportunity, the Vietnam Trade Office in that country said.
",2024-03-01,0.7579,0.0,neutral
Vietnam records decade-high trade surplus of $4.72B,"Vietnam has recorded a trade surplus of US$4.72 billion in the first two months of 2024, up 34% from the same period last year.
",2024-03-01,0.0,0.08333333333333333,neutral
Vietnam can attract $25B foreign investment in stock market with upgrades: World Bank,"Vietnam’s stock market can attract US$25 billion from foreign investors by 2030 if it is upgraded from Frontier to Emerging, according to the World Bank.
",2024-02-29,0.3612,-0.125,negative
Seaports handle 112 million tonnes of cargo in two months,"Vietnam’s seaports handled nearly 112 million tonnes of cargo in the first two months of 2024, a year-on-year increase of 8%, statistics from the Vietnam Maritime Administration revealed.
",2024-02-29,0.3182,0.175,neutral
FDI inflow surges nearly 39% in two months,"Vietnam has attracted more than US$4.29 billion in foreign direct investment in the first two months of 2024, up 38.6% year-on-year, according to the Foreign Trade Agency.
",2024-02-28,0.4215,0.12,neutral
Why pure gold ring prices surge in Vietnam?,"Pure gold ring price has been surging to new peaks and have exceeded global rates by a large margin due to a shortage of gold supply.
",2024-02-28,-0.25,0.08798701298701299,positive
"4,800 containers unclaimed at HCMC ports","Over 4,800 containers have been left unclaimed for more than 90 days at Ho Chi Minh City sea ports, causing difficulties for logistics activities.
",2024-02-27,-0.296,0.25,positive
Vietnam to have 50M digital wallets this year,"The number of active digital wallets in Vietnam will surge by 40% to 50 million by the end of this year, according to by financial data provider FiinGroup.
",2024-02-27,0.4588,-0.044444444444444446,neutral
Vietnam all set to pull the plug on 2G phones,"New phones that only support 2G will not be able to connect to the country’s mobile network from March 1, according to the Vietnam Telecommunications Authority.
",2024-02-26,0.4588,0.21212121212121213,negative
Tax evasion by wealthiest Americans tops $150B a year,"The U.S.’s Internal Revenue Service estimates that the country’s millionaires and billionaires are evading over US$150 billion in taxes annually.
",2024-02-26,0.0,0.0,negative
Seafood exports to key markets rise 64%,"Vietnam's seafood exports rose by 64% year-on-year in January to nearly US$750 million, with shipments to China, the U.S. and the EU seeing sharp increases.
",2024-02-26,0.0,0.19166666666666665,neutral
Paddy prices fall to the lowest in 6 months,"Prices of paddy in the Mekong Delta have decreased by VND2,000 (US$0.08) to VND7,500-8,500 per kilogram, the lowest in the past six months.
",2024-02-25,-0.3818,-0.325,positive
Asia Pacific flight bookings to bounce back to pre-Covid levels,"Asia-Pacific’s air travel demand will recover to its pre-pandemic levels this year thanks to the influx of Chinese outbound tourists.
",2024-02-25,0.34,0.1,neutral
Factories report surge in orders,"Consumer goods and wood products companies have seen a surge in orders this year, with some even having enough for the entire second quarter.
",2024-02-24,0.0,0.0,neutral
"PM wants Viettel, VNPT, Mobifone to lead semiconductor industry","Prime Minister Pham Minh Chinh has ordered state-owned telecom groups Viettel, VNPT, Mobifone and GTEL to lead the country’s semiconductor industry.
",2024-02-23,0.0,0.0,negative
"Exporters, importers cry foul over hike in shipping charges","Traders are complaining that shipping companies have raised terminal handling charge by 10% this month, adding to their difficulties caused by the rising tensions in the Red Sea.
",2024-02-23,-0.6908,0.0,positive
Grapefruit prices plunge after holiday,"Green grapefruit prices have fallen 30% from the pre-Lunar New Year period of Feb. 8-14, now ranging between VND14,000-16,000 ($0.57-$0.65) per kilogram.
",2024-02-23,-0.3612,-0.03181818181818183,positive
Vietnam to see largest expansion in wealth growth over the next decade,"Vietnam will see the biggest surge in wealth growth in the world over the next decade as it positions itself as a global manufacturing hub.
",2024-02-23,0.7003,0.0,neutral
"Coffee, pepper prices on 5-day rising streak","Coffee and pepper prices rose for a fifth consecutive day on Wednesday, with the former hitting a new all-time high of VND82,500 (US$3.36) per kilogram.
",2024-02-22,0.0,0.2240909090909091,negative
Export recovery gains momentum,"Vietnam’s exports are showing signs of recovery, driven by computer, electronics and smartphones, according to investment fund VinaCapital.
",2024-02-22,0.0,0.0,neutral
Where to invest in 2024?,"The stock market might recover this year while the real estate, gold and cryptocurrency markets face uncertainties, experts forecast.
",2024-02-21,-0.34,0.2,positive
Credit drops in January,"Vietnam’s credit in January fell 0.6% as businesses were reluctant to borrow and there was lower demand for home loans amid an unfavorable property market.
",2024-02-21,-0.2732,0.0,positive
"Buy2sell Vietnam, Tavanix and DrLoule's collaboration helps achieve million-dollar growth","Buy2sell's strategic partnerships with Tavanix and DrLoule have generated substantial revenues, establishing a strong presence in the cosmetics market since 2021.
",2024-02-20,0.6249,0.43333333333333335,neutral
Gold shops packed at noon on God of Wealth Day,"Jewelry shops in Hanoi and HCMC attracted few visitors in the morning of God of Wealth Day Monday but by noon long queues were seen outside of shops.
",2024-02-19,0.5499,-0.08333333333333333,negative
Off-season durian prices soar 20% as harvest nears close,"The price of premium Monthong durian has jumped 20% to VND200,000 (US$8.15) per kilogram at the farm in the Mekong Delta province of Tien Giang.
",2024-02-19,0.0,0.0,negative
Most banks push deposit interest rates to below 5%,"Only a few banks now offer more than 5% per year for deposits of 12 months or less, with the highest rate at 5.7%.
",2024-02-19,0.0,0.03333333333333333,negative
"Coffee, rice, and durian prices skyrocket","Increased world demand but limited supply has continued to push up prices of rice and durian, while coffee prices have set a record.
",2024-02-18,-0.2617,-0.07142857142857142,neutral
Vietnam's agricultural exports to China expected to rise,"Vietnam expects to increase its agricultural exports to China as the neighboring country agreed earlier this year to review regulations permitting the official export of Vietnamese poultry meat, according to the Agency of Foreign Trade at the Ministry of Industry and Trade.
",2024-02-18,0.5267,-0.0625,negative
US share of Vietnam exports growing,"The U.S.’s share of Vietnam’s exports is growing, especially of laptops and smartphones, and the country is considered by investors as a potential global manufacturing hub, an analyst has said.
",2024-02-16,0.4404,0.0,negative
Post-holiday air tickets to HCMC sold out,"Economy seats on post-holiday flights from northern and central regions to Ho Chi Minh City have sold out, forcing passengers to opt for business class tickets priced at up to VND10 million ($410).
",2024-02-16,0.0,0.0,negative
Corporate bond market can exceed $100B: minister,"Minister of Finance Ho Duc Phoc said that Vietnam’s corporate bond market had the potential to reach VND2.5 quadrillion ($102 billion) in upcoming years as it remained a good channel for companies to source funding.
",2024-02-15,0.4588,0.2333333333333333,neutral
"India IT ministry fears losing out to China, Vietnam in smartphone exports race","India risks losing out to China and Vietnam as it seeks to become a major smartphone export hub and must ""act fast"" to lure global companies with lower tariffs, the deputy IT minister said in government documents seen by Reuters.
",2024-02-14,-0.7096,0.08750000000000001,negative
Vietnamese spend $3.8M daily on online food orders,"Online food orders in Vietnam were worth a total of VND35 trillion (US$1.4 billion) last year, or $3.8 million a day, a 30% increase from the previous year.
",2024-02-14,0.4939,0.03333333333333333,neutral
Gen Z grapples with shrinking job market,"Many Gen Z people are struggling to find jobs as businesses scale down operations amid the economic downturn.
",2024-02-14,-0.4215,0.1814814814814815,positive
Vietnam's FDI forecast to remain strong through 2024,"The year 2024 continues to look good for Vietnam’s foreign investment attraction, as right from the beginning of this year, the country has attracted a host of projects.
",2024-02-13,0.8271,0.2869047619047619,neutral
Vietnam records second largest drop in auto sales across Southeast Asia,"Vietnam saw the second sharpest decrease, of 25%, in automobile sales in Southeast Asia last year behind only minuscule market Myanmar.
",2024-02-13,0.0,-0.1,positive
Vietnamese durian and coffee farmers see unprecedented profits in 2023,"The record prices of durian, coffee, and rice in 2023 brought significant profits to farmers in the Central Highlands and the Mekong Delta.
",2024-02-12,0.5719,0.1875,neutral
Feng shui and economics in the Year of the Dragon,"The Year of the Dragon in the Chinese zodiac is supposed to be kind to industries such as banking and technology but pose challenges for real estate and mining.
",2024-02-11,0.3919,0.2,positive
HSBC forecasts revival in consumer demand,"After a bleak 2023, consumer demand is expected to pick up this year, according to lender HSBC.
",2024-02-11,-0.128,-0.55,neutral
Vietnam’s coffee export value doubles in January,"Vietnam shipped 230,000 tonnes of coffee abroad in January, earning $623 million, up 61.6% in volume and 100.3% in value year-on-year, according to the Ministry of Agriculture and Rural Development.
",2024-02-11,0.34,0.0,neutral
Corporate bond market to thaw this year,"Renewed confidence in the market and low interest rates will draw investors and action to the bond market this year, according to credit rating agency FiinRatings.
",2024-02-11,0.7783,0.05,neutral
China buys 11 times more Vietnamese durian,"China spent more than US$2 billion buying nearly 524,000 tons of durian from Vietnam last year, 11 times more than 2022 in terms of quantity.
",2024-02-10,0.0,0.2,negative
Vietnam's export revenue highest in 22 months,"Vietnam's export turnover reached nearly US$33.6 billion in January, up 42% year-on-year, the highest since April 2022, according to the Ministry of Industry and Trade.
",2024-02-09,0.1027,0.1,neutral
PM orders railway upgrade to pump up agriculture exports to China,"Prime Minister Pham Minh Chinh has ordered government bodies increase railway and road capacity to export more agriculture produce to China.
",2024-02-07,0.3182,0.5,negative
Vietnamese spend $1.7M on buying traditional dresses 'ao dai' for Tet,"Vietnamese bought 245,000 traditional 'ao dai' long dresses for VND41.5 billion (US$1.7 million) on e-commerce platforms alone in preparation for Tet.
",2024-02-07,-0.25,-0.025,negative
Consumer demand rises as Tet nears,"Demand for consumer goods has risen around 10% year-on-year, according to retailers, but buyers mostly prioritize essential and affordable items.
",2024-02-06,-0.0644,0.25,neutral
Vietcombank Remittance one of largest companies in its field,"Vietcombank Remittance anticipates and responds to remittance inflows by analyzing labor export markets and adapting strategies, catering to Vietnamese export workers' needs and facilitating efficient fund transfers.
2023 in review: Vietnam economy weathers     the storm
2023 in review: Vietnam economy weathers the storm
Though 5.05% GDP growth last year was below the target, the economy steadily improved through the year despite the global headwinds.
",2024-02-05,0.8176,0.05555555555555555,neutral
Retailers cut smartphone prices to spur Tet sales,"Smartphone retailers are offering large discounts as they strive to boost sales before the Lunar New Year (Tet).
",2024-02-05,0.4019,0.17532467532467533,neutral
Overseas Vietnamese labor in Asia drives remittance growth,"An increase in labor export and remittances from Vietnamese workers in the Asia region were the main reasons behind Vietnam’s record-high inward remittance totals last year.
",2024-02-05,0.3182,-0.07777777777777779,neutral
Cross-border e-commerce Vietnam’s next big thing in exports: Amazon,"Cross-border e-commerce is expected to be fifth highest in the list of Vietnam’s exports by 2027 with a value of US$12 billion, according to U.S. e-commerce giant Amazon.
",2024-02-05,0.4767,-0.05,neutral
Supermarkets packed ahead of Tet holiday,"Many supermarkets and malls in Hanoi and Ho Chi Minh City were packed with customers Saturday ahead of Tet, Vietnam’s biggest holiday season.
",2024-02-04,0.4019,0.5,negative
Vietnam economy ready to bounce back: Citi Vietnam,"Vietnam seems to have overcome its biggest economic challenges last year and is now ready to recover, according to Ramachandran A.S., country head of lender Citi Vietnam.
",2024-02-04,0.4215,0.13333333333333333,neutral
Workers struggle to secure jobs during Tet season,"After finishing her afternoon shift at the chili factory, Le Thi Nga, 58, drove a motorbike around Binh Tan District looking for work.
",2024-02-04,0.0,0.0,negative
HCMC eyes economic growth of 6.5% in Q1,"Ho Chi Minh City targets economic growth of at least 6.5% in the first quarter so that it can hit the full-year target of 7.5-8%.
",2024-02-02,0.3818,0.05000000000000001,neutral
"Vietnam wins bid to export 300,000 tons of rice to Indonesia","Seven Vietnamese firms have won a bid to export 300,000 tons of rice to Indonesia, or more than half the volume that country’s plans to import in January.
",2024-02-02,0.5719,0.16666666666666669,negative
Unseasonable peach blossoming in Sa Pa threaten losses for growers,"Though Tet is more than a week away, many peach trees have already blossomed in Sa Pa, leaving growers with potential losses of billions of dong (VND1 billion = $40,958).
",2024-02-02,-0.4019,0.3333333333333333,positive
Dollar to strengthen against dong in Q1: HSBC,"The dollar is expected to gain against the dong in the first quarter of 2024, according to experts at financial services company HSBC Vietnam.
",2024-02-01,0.5267,0.049999999999999996,negative
Auto sales fall sharply in 2023,"Automobile sales plummeted by 25% last year with most brands suffering double-digit declines.
",2024-02-01,-0.5233,0.25,positive
Thai red pomelo outsells Vietnamese rivals,"Siam ruby pomelo from Thailand is selling well in Vietnam, despite costing three times the price of local varieties, because of its eye-catching appearance and outstanding quality.
",2024-01-29,0.7269,0.25,neutral
Stars are aligning for Vietnam semiconductor dreams,"Around 16 years ago, before Intel set up its HCMC semiconductor plant, Vietnam’s first chip was created.
",2024-01-29,0.25,0.25,negative
Expenses pile up at training centers for driver's license,"People applying for a driver’s license have to spend millions of dong (VND1 million = $40.63) more on top of training fees for health checks, meals and car rentals.
",2024-01-29,0.2682,0.5,negative
PM urges great efforts to finish 500kV power line project by mid-2024,"Prime Minister Pham Minh Chinh on Sunday called for collective efforts to finish the Quang Trach-Pho Noi power transmission line project in the central province of Thanh Hoa by mid-2024.
",2024-01-28,0.0,0.0,negative
Ministry wants another electricity price hike,"The Ministry of Industry and Trade has proposed a hike in electricity price this year after pushing it up 7.5% last year to narrow down the loss of national utility Vietnam Electricity (EVN).
",2024-01-27,-0.3182,-0.11851851851851852,positive
Chipmakers among 15 US firms eyeing $8B Vietnam investment,"Fifteen U.S. companies, including semiconductors firms, have expressed interest in investing $8 billion in Vietnam in clean energy infrastructure, contingent on the country's progress on renewable energy rules, a senior U.S. official said.
",2024-01-27,0.8934,0.13333333333333336,negative
Durian price hits $40 per fruit as Chinese demand surges,"The off-season Monthong durian price in Vietnam has surged 50% to VND925,000 ($37.58) per five kilograms as traders scrambled to find supply to meet Chinese demand.
",2024-01-26,-0.128,0.0,neutral
"Investments in HCMC industrial, export processing zones rise to record high","Investments in HCMC’s export processing zones and industrial zones were worth US$1.012 billion last year, the highest in the last 30 years.
",2024-01-25,0.2263,0.09999999999999999,neutral
Remittances to HCMC surge to new record,"Foreign remittances to Ho Chi Minh City soared by 43% to a record US$9.46 billion last year.
",2024-01-25,0.0,-0.0625,neutral
"Fruit, vegetable exports rise by 89%","Fruit and vegetable exports have risen by 89.2% this year to US$459 million due to a surge in demand from China, according to the Vietnam Fruit and Vegetable Association.
",2024-01-24,-0.128,-0.125,neutral
Driver's license cost balloons to $800,"The cost of obtaining a car driving license has nearly doubled from last year to VND20 million (US$800).
",2024-01-24,0.0,0.05,negative
Top Chinese KOLs' 2023 earnings surpass Brad Pitt's net worth,"China’s online influencers have taken the digital world by storm, with earnings in 2023 eclipsing the net worth of many Hollywood A-listers like Brad Pitt.
",2024-01-22,0.5267,0.2,neutral
PM calls on Romanian oil industry to invest in Vietnam,"Prime Minister Pham Minh Chinh has invited Romanian businesses to invest in Vietnamese oil and gas projects.
",2024-01-22,0.0,0.0,negative
Hungarian PM solicits Vietnamese investment,"Hungarian Prime Minister Viktor Orban has called on Vietnamese companies to invest in his country, saying his government prioritizes creating a safe environment for new investors.
",2024-01-20,0.6249,0.3181818181818182,negative
Deposit interest rates continue to drop,"Over 20 banks have cut their deposit interest rates, with rates for 1-month deposits now as low as 1.7% per year.
",2024-01-20,-0.0516,0.0,negative
Vietnam a socioeconomic success story: WTO director general,"Ngozi Okonjo-Iweala, director general of the World Trade Organization (WTO), hailed Vietnam as a “story of successful socio-economic development” during a meeting with Prime Minister Pham Minh Chinh on Thursday.
",2024-01-19,0.6908,0.4,negative
EU to check for pesticide residues in Vietnamese durian,"The European Union will begin testing frozen and fresh durian imported from Vietnam for pesticide residues starting in February.
",2024-01-19,0.3182,0.09999999999999999,negative
Vietnam seeks support from Northern Europe’s top bank in banking restructuring,"Prime Minister Pham Minh Chinh asked SEB Bank, the largest bank in Northern Europe, to assist in restructuring underperforming banks in Vietnam.
",2024-01-18,0.0,0.0,negative
Vietnam resolved to become leading investment destination: PM,"Prime Minister Pham Minh Chinh has called on investors to bring more capital and cutting-edge technologies to Vietnam.
",2024-01-18,0.0,0.5,negative
European businesses trust in Vietnam’s recovery,"European businesses trust in Vietnam’s potential for recovery and will increase their investment in the country, a representative has said.
",2024-01-17,0.6808,0.0,negative
"PM promises government support for AI, semiconductor companies coming to Vietnam","Prime Minister Pham Minh Chinh has called on global investors to look at Vietnam’s AI, auto and semiconductor industries, saying they are guaranteed government support.
",2024-01-17,0.4019,0.0,negative
Nearly 80% of online shoppers are office clerks,"Some 78% of shoppers on digital platforms are office clerks, mostly women, according to a survey by market research firm Nielsen Vietnam.
",2024-01-17,0.0,0.09999999999999999,negative
Consumers cut spending ahead of Tet,"Consumers are starting 2024 cautiously after a year of economic challenges even though the holiday season is approaching and businesses are trying hard to cope.
",2024-01-17,0.3818,-0.02291666666666667,positive
Vietnamese consumers fall for $10 AirPods scam,"Vietnamese consumers, enticed by prices as low as VND250,000 (about $10), are being scammed with counterfeit AirPods, similar to genuine Apple products.
",2024-01-17,-0.2732,0.13333333333333333,positive
Airlines add more flights amid high holiday demand,"Vietnam Airlines Group has increased the number of flights with up to 66,200 more seats to meet high demand during the upcoming holiday.
",2024-01-16,0.5574,0.33,neutral
World's five richest men double their wealth,"The combined fortunes of the world's five richest men have more than doubled to $869 billion since 2020 while five billion people have been made poorer, anti-poverty group Oxfam said.
",2024-01-16,0.2263,0.5,neutral
Air tickets sold out on some routes almost one month before Lunar New Year,"With demand for flight tickets to many destinations exceeding supply during Tet, people are having trouble obtaining them.
",2024-01-15,-0.4939,0.15,positive
Most Vietnamese crypto investors lose money in 2023,"Some 64% of cryptocurrency investors lost money last year, a survey by data platform Coin98 Insights has found.
",2024-01-15,-0.3182,0.0,negative
Rice exports reach record high,"Vietnam's rice exports soared to 8.13 million tons, valued at US$4.7 billion in 2023, setting a new national record, as per the General Department of Customs.
",2024-01-15,0.4404,0.09318181818181819,neutral
Consumer loans slow to a crawl in 2023,"Consumer loan growth inched along more sluggish than a snail last year as demand for house and vehicle purchases drowned amid economic challenges.
",2024-01-15,-0.6697,0.15000000000000002,positive
"Big 4 banks represent 41.9% of total credit, 50% of total deposits","Vietnam's four largest commercial banks - Vietcombank, BIDV, Agribank and VietinBank (the Big 4) - in 2023 accounted for 41.9% of total outstanding loans and about 50% of the total deposits of the country's banking system.
",2024-01-14,0.6124,0.1,negative
"Processed vegetable, fruit exports increase 19%","Exports of processed vegetables and fruits topped US$1.1 billion for the first time by the end of November 2023, up 19% year-on-year, according to the General Department of Vietnam Customs.
",2024-01-12,0.0,0.15000000000000002,neutral
Global minimum tax unlikely to inhibit FDI flows into Vietnam: experts,"Global minimum tax is not a big concern as multinational corporations not only consider tax incentives but also other factors and support policies when investing in Vietnam, experts assess.
",2024-01-12,0.6369,-0.03125,negative
Bank fails to sell Hanoi $2M penthouse in three auctions,"VietinBank is set to auction a penthouse with prices starting at VND54.1 billion ($2.2 million) in Hanoi for the fourth time, following three unsuccessful attempts to sell this collateral property.
",2024-01-11,-0.3612,0.0,positive
EVN receives $104M for Con Dao islands' grid connection project,"The government will use state money to give power utility Vietnam Electricity (EVN) VND2.53 trillion (US$104 million) to connect the tourism archipelago of Con Dao with the national grid.
",2024-01-09,0.0,0.0,negative
2023 most challenging year for Vietnamese garments: industry insider,"Garment giant Vinatex CEO Cao Huu Hieu considered 2023 the most difficult year in the sector’s history due to a severe shortage of orders.
",2024-01-09,-0.7501,-0.03125,positive
Government calls for further interest rates reduction,"The government has directed banks to lower costs and further reduce loan interest rates in an effort to expand credit access.
",2024-01-09,0.6908,0.0,neutral
Finance ministry mulls raising income threshold for taxing household businesses,"The Ministry of Finance is considering raising the income threshold for value-added tax for household businesses by 50% to account for inflation.
",2024-01-08,0.0,0.0,negative
Banks likely to pump $82B into economy through loans,"The State Bank of Vietnam has set a credit growth target of 15%, equivalent to VND2 quadrillion ($82.03 billion), this year.
",2024-01-06,0.6369,0.0,negative
Vietnam navigates economic headwinds in 2023: PM,"Vietnam’s economy overcame headwinds in 2023 to achieve strong growth compared to other countries in the region, Prime Minister Pham Minh Chinh has said.
",2024-01-05,0.7096,0.15416666666666667,positive
HCMC’s 8% GRDP growth target possible with right strategies: study,"Ho Chi Minh City can achieve its 2024 gross regional domestic product (GRDP) growth target of 7.5-8% by focusing on boosting aggregate demand and expanding export markets, according to a new study.
",2024-01-05,0.1027,0.04545454545454545,neutral
Long Thanh airport relocation budget gets $39M more,"The relocation project for residents at Long Thanh International Airport has been granted an additional VND966 billion ($39.61 million), which had been inaccessible up until now due to red tape.
",2024-01-04,0.25,-0.04375,negative
Public investment meets 82% of PM's target,"Vietnam disbursed VND580 trillion ($23.78 billion) in public investment last year, 82% of the set goal by Prime Minister Pham Minh Chinh.
",2024-01-04,0.0,0.0,negative
HCMC economic outlook positive in H2,"Ho Chi Minh City’s economic outlook is estimated to improve in the second half of the year, but challenges will remain in the first, according to a new report.
",2024-01-03,0.34,0.08393939393939394,neutral
State Bank of Vietnam sets 15% credit growth target,"The State Bank of Vietnam has set banks a credit growth target of 15% this year, up one percentage point from last year’s target.
",2024-01-03,0.6369,0.0,neutral
Vietnam targets agricultural exports of $26B by 2030,"Vietnam targets exports of agricultural produce such as fruits, rice, cashew, and timber worth over US$26 billion a year by 2030.
",2024-01-02,0.2263,0.15,negative
Public debt well below cap,"Vietnam recorded a public debt of VND3.8 quadrillion ($156.57 billion), or 37% of GDP, way below the National Assembly’s 60% cap.
",2024-01-01,-0.3612,0.0,negative
Countries boost imports of Vietnamese durian,"Several countries have bought more durian from Vietnam this year as farmers have increased the quality of the fruit.
",2024-01-01,0.2732,0.25,neutral
Vietnam among world's top 25 economies by 2038: UK think tank,"Vietnam and the Philippines are the two economies in Southeast Asia that are projected to make a big leap in the World Economic League Table (WELT) between 2023 and 2038, according to the Center for Economics and Business Research (CEBR).
",2023-12-31,0.0,0.03333333333333333,negative
Government extends 2-point VAT cut until mid-2024,"The cut in value-added tax from 10% to 8% will remain in force through the first half of next year for most industries, according to a new government decree.
",2023-12-30,-0.2732,0.14393939393939395,negative
Central bank ready to increase gold bullion supply,"The State Bank of Vietnam is ready to increase gold supply to stabilize the market, the head of its foreign currency department has said.
",2023-12-30,0.5859,0.037500000000000006,negative
Lower eco tax on fuel to continue,"The environmental tax on fuel, which was halved in 2023, will still be applied in 2024.
",2023-12-30,0.0,0.0,negative
Premature redemption of corporate bonds rises by 6%,"Companies have prematurely redeemed VND230.2 trillion (US$9.6 billion) worth of bonds this year, a 6% increase from 2022, according to data from the Ministry of Finance.
",2023-12-30,0.6705,0.3,negative
Vietnam receives $190B in remittances over 30 years,"Remittances to Vietnam totaled $190 billion from 1993 to 2022, nearly the same as disbursed foreign direct investment in the same period.
",2023-12-29,0.0,0.015000000000000003,negative
GDP expands 5.05% in 2023,"Vietnam's GDP grew by 5.05% in 2023, lower than target by one percentage point, but still outpacing many other nations, according to the government.
",2023-12-29,-0.1531,0.1875,positive
